"English","Danish","Dutch","Finnish","French","German","Indonesian","Italian","Japanese","Latin","Norwegian","Portugese","Spanish","Swahili","Swedish"
"fold","fold, folde","omvouwen, vouwen, plooien","taivuttaa","pliez, pli, plient, plions, plissons, plier","falten, Falte, zusammenklappen, gefaltete","lipat, lipatan, melipat","grinza, pizzicotto, giùngere","bai, futae, sujime, orikomi","-","fold, brette, folde","dobra","doblar, dobladura, plegar, zangamanga, plegado","-","vika, veck"
"folk","folk","volk","kansa","peuple","Leute","-","gente","minkan, fo-ku","populus","mennesker, folk","povo, povos","pueblo","watu","-"
"follow","følge","opvolgen, handelen volgens","seurata","suivre, suivez, respecter, suivons, ensuivent","folgen, folgen, verfolgen","mengikuti, ikuti","conseguire, inseguire","forou, tsuizui, hou, bikou, foro-","-","følge, etterfølge","sequir, siga","perseguir, seguir","-","följa, lyda, efterfölja"
"foot","fod, pote","voet","jalka","pédestre, patte, pied","Basis, Fuß, Basis, Fuß","-","base, gamba, zampa, piede","fi-to, ashi","pes","fot","pé","pie, basa","mguu","stativ, fot"
"for","forbi, imitlertid","gedurende, onder, terwijl, staande","aikana, koska, varten","pour, pendant, car, durant","als, denn, nach, für, für/nach, für","-","per, poichè, per, durante","taishite, tameni","-","til, for, av","durante, para","pues, para","ili","ty, åt, prenumerera på, till, för"
"force","tvinge, kraft","doordrukken","tyrkyttää","forcez, contrainte, forçons, contraindre, forcent","Kraft, Gewalt","paksa ... memaksa","effetto, costrizione, forza, balìa, vigente","chikara, buryoku, fo-su, seiryoku, jitsuryoku, gun","construprare, vis","styrke, tvinge, makt, forsere, kraft, sprenge","força","poderio, fuerza, opresion, compeler, efecto","-","kraft, våld, styrka, tvinga, tränga"
"foreign","udenlandsk, fremmed","uitheems, buitenlands","vieras","-","ausländisch, ausländisch, fremd, fremd","asing","straniero, estero","taigai, kaigai","advena, allophylus, barbaricus","-","extrangeiro","ajeno","a kigeni","utlänsk, utrikes"
"foreigner","udlænding","buitenlander","-","étrangère, étranger","Ausländer {m}","orang asing","straniera, forestiere, straniero","takokujin, gaijin, ihoujin, ijin, gaikokujin","barbarus, hospes, advena","fremmed","estrangeiro","extranjero","mgeni","utlänning"
"forest","skov","woud, bos","-","forestier, forêt, bois","Wald, Wald, Forst","-","selva, bosco","hayashi, shinrin, mori","silva","skog, skog","floresta","bosque","msitu","skog"
"formerly","forhen","daarvoor, vooraan, eerder, indertijd","-","jadis, autrefois, auparavant","förmlich, ehemals, ehedem","sebelumnya","davanti, ancor prima, un tempo","kyuurai, iou, sou, senni, katte, sakizaki, sennen","ante","tidligere","diante, anteriormente, antes","delante, anterior, anteriormente","mbele","fordom, förr i tiden, förr"
"fountain","kilde, brønd","fontein","kaivo","évent, fontaine, source","Brunnen, Fontäne, Herkunft","mata-air","sorgente, origine, fontano, fontana a getto, pozzo","izumi, sensui","-","kilde, fontène, kilde","fonte, nascente","procedencia, fuente, pozo","-","fontän"
"four","fire","vier","neljä","quatre","vier","empat","quattro","yottsu, shi, yon","quattuor","fire","quatro","cuatro","nne, nne","fyra"
"fourteen","fjorten","veertien","neljätoista","quatorze","vierzehn","-","quattordici","juushi, juuyon","quattuordecim","fjorten","quatorze, catorze","catorce","kumi na -nne, kumi na nne","fjorton"
"fourth","fjerde","vierde","neljäs, neljännestunti","quart, quatrième","viertes, vierter, Viertel, vierte, vierte","-","quarta","-","quartus","fjærde","quinto, quarto","cuarto","a nne","fjärde"
"free","gratis, fri","onbezet, los, vlot, open, onbelemmerd","vapaa","loisirs, libérer, libre, pour rien, gracieux","freigeben, frei","-","rilasciare, esente, esimere, tempo libero","furi-, tada","liber","ledig, befri, utvungen, fri, gratis, frigjøre","livre","dispensar, gratuito, gratas, franco, gratis, libre","-","fri, ledig"
"friday","fredag","vrijdag","perjantai","vendredi","Freitag","Jumat","venerdí","kin'youbi","-","fredag","Sexta-feira","viernes","Ijumaa","fredag"
"friend","veninde, ven","vriendin","ystävä","amie, ami","Freundin, Bekannte, Bekannter, Freund, Freund","kawan","camerata, amica, conoscente, amico","kaonajimi, kouyuu, chijin, yuujin, tomodachi, guu","amica, amicus","venn, venninne, venn","amiga, amigo","camarada, amigo, amiga","rafiki","vän"
"friendly","venlig","voorkomend, aardig, lief, vriendelijk","ystävällinen","aimable, avenante, amiable, amical, affable, liant","befreundetem, freundliche","baik-haiti, baik","cortese, benevolo, gradevole, amichévole, amicale","hitonatsukkoi, komayaka, shitashimiyasui, gojoteki","comis, lepidus","vennskapelig, vennlig","amigável","amistoso, risue o","-","vänlig"
"frog","frø","kikker, kikvors","sammakko","grenouille","Frosch","kodok","rana","kaeru, kawazu","-","frosk","rã, râ","rana","chura","groda"
"from","ud, til, på","sedert, met ingang van, vanaf","ulos, lähtien","flamé, dès, depuis","von, aus, von","-","da, dalla, dalla, dalla","kara, yori","a, ab, e, abs, ex","etter, fra, mot, på grunnlag av, ut fra","de","de","kwa","ifrån, från, ur"
"fruit","frugt","vrucht","hedelmä","fruitier, fruit","Obst, Obst/Frucht, Frucht","buah","frutti, frutto, frutta","mi, kinomi, mizugashi, sanbutsu, kajitsu, kudamono","-","frukt","fruta","fruta","-","frukt"
"full","fuld","totaal, volkomen, compleet, vol","kylläinen, täysi","rempli, rassasié","völlig, voll","-","gremito","ippai, kuwashii, tappuri, fukuyoka, juujitsushita","plenus","fullstendig, full, utførlig, hel","completamente, cheio","lleno, llenelo","-","full"
"gain","erhverv, fortjene, vinde","acquest, aanwinst, buit, prooi","voittaa","gagner, produit","Verstärkung, Gewinn","-","prodotto","gein, yaku, toku, eki, uruoi, baku","-","gagn, tjene, vinne, vinning, oppnå, økning","ganho, ganhar","provecho, fruto","faida","vinst, vinning, vinning, förvärva, vinna"
"game","leg, spil","spel","-","jeu","Spiel, Partie, Spiel","permainan","giuoco","emono, teawase, kyougi, shiai, ge-mu, yuugi","-","spill","jogo","baraja, juego","mchezo","parti, villebråd, spel, lek"
"garden","have","hof, tuin","puutarha","jardin, jardin potager","Garten","kebun","giardino, verziere","niwa, en, ga-den, teien, sono, senzai","hortus","have, hage","jardim","jardin, jardín","bustani","trädgård, tomt"
"gate","dør","draaihek","ovi","porte","Sperre, Pforte, Gatter, Schranke, Tor, Tor","-","valvola, porta, stolto","seki, irikuchi, iriguchi, kado, ge-to, hairiguchi","ianua","port, grind","porta","paso, puerta, verja, portillo","mlango","grind, port"
"gather","slutte, samle, forsamles","deduceren, afleiden, abstraheren","tehdä johtopäätös, kerätä","cueillent, ramassez, ramassons, amassons, amassez","erfassen, versammeln, sammeln, sammeln","kumpulkan, mengumpulkan","raccogliere, raccogliere, cògliere","gyaza-, kyuu","concludere, coire, colligere, convenire","plukke, forstå, øke, samle","recolhimento, colher","cosechar","-","samla, inhämta, plocka"
"gentle","sød, mild","liefelijk, zoet, zacht","makea, lempeä","doux","zahm, leise, sanftmütig","manis","dolce, placido","nagoyaka, yasashii, onbin, odayaka","dulcis, suavis","søt","suave, delicado","dulce, placido, suave","tamu","vek, sakta, mild, fredlig"
"get","gribe, blive, modtage, tage, tage op, hente","verkrijgen, behalen, buit maken","hankkia, saada, tulla joksikin, ottaa","acquérir, harponner, venir quérir, arriver","bringen, lesen, holen, holen/bringen, erhalten","ambil ... mengambil, menerima, terima","arrivare, cogliere, ricevere, venni, prendere","choudai","capere, advenire, conciliare","hente, få, bli, forstå","receber, obter, comece, adquirir","acoger, obtener, coger, llegar, buscar, recibir","-","bliva, få, skaffa, lätta"
"gift","gave","gift, geschenk, donatie, cadeau","lahja","cadeau, don","Gabe, Geschenk, Gabe","pemberian","presente, talento","atae, houtei, gifuto, nou, tsukaimono, itadakimono","donum","gave, anlegg","presente, dádiva","regalo, talento","-","present, talang, skänk, gåva"
"give","give","schenken, cadeau geven","antaa","donnent, donnons, donner, passer, donnez","eingeben, geben, geben","beri ... memberi","dare, regalare","-","dare, donare","gi, skjenke","elasticidade","donar, alargar, dar","-","giva, uppge, ge"
"glass","glas","drinkglas, glas","juomalasi, lasi","verre, vitre","Spiegel, Glas, Glas","-","calice, vetro","garasu, gurasu, koppu, hari","-","speil, glass","vidro, copo","cascara, cristal, vidrio, vaso","kioo","glas"
"goal","hensigt, mål","doelstelling, doel, wit, doelwit, honk","päämäärä, maali","but, dessein, dgssein","Zielpunkt, tor","maksud","scopo, proposito, stolto, traguardo","go-ru, tabisaki, medo, mokuteki","-","mål","alvo, objetivo","fin, conato, meta","-","mål"
"goat","ged","sik, geit, bok","-","chevre, chèvre","Geiß, Ziege, Ziege","kambing","capra","yagi","caper","geit","cabra","cabra","mbuzi","get"
"God","Gud","God","Jumala","dieux, dieu","gutes, Gott","Allah","Iddio, Iddìo, Dio","kamisama","deus","Gud","deus","Dios","Mungu, Allah","gud"
"gold","guld","gulden, gouden","kulta","or","gold, Gold, Gold, golden","emas","oro","go-rudo, kogane, kin","aureus, chryseus, chrysos, aurum","gull","ouro","oro","-","-"
"good","god","okee, okay, goed","hyvä","bon, richement","gut, gut, artig","-","buono","tame, yoi, zen, yoroshii, sasuga, ka, yoshi, gu-","bonus","god, snill, behage, flink, gyldig, dyktig, frisk","bom","bueno","ema, zuri","bra, nyttig, snäll, god, gott, nytta"
"goodbye","farvel, afsked","vaarwel, adieu","hyvästi","adieu","auf Wiedersehen","-","arrivederci, addio","adiosu, adyu-","ave","farvel, på gjensyn","adeus","adiós","kwa herini, kwa heri","farväl"
"goose","gås","gans","hanhi","oie","Gans","-","oca","gachou","anser","gås","ganso","oca, ganso","-","gås"
"grade","grad","graad, mate, trap","aste, muistiinpano","degré, rang","einteilen","pangkat, derajat","sorta","kurai, gure-do, kuraidori, koubai, toukyuu, teido","-","trinn, gradere, grad, karakter, klasse","classe","grado, fila","cheo","gradera"
"grape","vindrue","druif","rypäle","raisin","Weintraube, Weinbeere, Weintraube","-","uva, gràppolo","gure-pu","botrys, acinus, botrus","drue","uva","uva","-","druva, vindruva"
"grass","græs","gras","ruoho","herbe","Gras","rumput","erba","gurasu, bokusou, kusa","-","gress","erva, grama","césped, hierba, yerba","majani","gräs"
"grease","fedt","invetten","rasva","graisse, gribouiller, graissage","abschmieren, Fett, Fett, schmieren, fetten","-","grassello, ingrassare, untume, ingrassare","guri-su, shibou, gurisu","arvina","fett","graxa, gordura","grasa, engrase, unto, engrasar","-","fett, flott, smet, smörja"
"green","grøn","groen","vihreä","vert","grün","hijau","verde","ao, guri-n, midoriiro, namanamashii, aoi","cæruleus","grønn, grøntareale","verde","verde","-","grönt"
"greeting","hilsen","saluut, groet","tervehdys","salutation, saluant","Begrüßung, grüssend, Gruß, grüssend","salam","vale","eshaku, aisatsu","-","hilsen","cumprimento","saludo","salamu","hälsning"
"ground","grund","achtergrond, grond, bodem, ondergrond","pohja, maa","sol, foncierère, terre, terrain","maße, Boden, Erdboden, Grund","-","suolo, suolo, massa","daichi, jimen, yoridokoro, gurando, rikujou, kitei","-","årsak, plass, terreng, bunn, grunnstøte","fundo, terra","suelo, terreno","udongo","mark, grund, gårdsplan, botten, jord"
"guard","konduktør","bewaken, de wacht hebben, bewaren","vartioida","contrôleur, garde, garder, protéger, sauvegarder","bewachen, bewachen, schützen, schützen, Wache","-","proteggere, caporale, sorvegliare, bigliettaio","goei, bannin, keiei, ga-do, gijou, keishu, keibi","custodia, custodela","garde, vakt, konduktør, bevoktning, vokte","protetor, condutor","guardar, amparar, guarda, cobrador, vigilar","mlinzi","akta, vakt, bevaka, patrull"
"guest","gæst","gast, introducé, logé","vieras","convive, invitée, invité","Gast","-","ospite","okyakusan, goyounokata, raihin, kyaku, houkyaku","conviva, hospes","gjest","convidado, hóspede","huésped, acoger","mgeni","främmande, gäst"
"guide","føre","besturen, richten, dirigeren, mennen","opastaa, suunnata","conduire, guider, guident, diriger, guidez, mener","führen, Führer, Handbuch","pimpin","introduzione, cicerone, regolare","sendatsu, michishirube, meate, tebiki","adducere","-","guia","impuestos, mandar, guia, instruir","-","vägleda, vägledare, ledare, leda, handleda"
"habit","sædvane","aanwensel, hebbelijkheid","tapa","habitude, configuration","Angewohnheit {f}, Beschaffenheit","kebiasaan, adat","costumanza, qualità","narawashi, joushuu, dasei, shuukan, kankou","consuetudo, mos","drakt, vane","hábito","hábito, costumbre, resabio, querencia","desturi","vana, sedvana, sed"
"hair","hår","haardos, haar","hius","chevelure, cheveux, cheveu, poil","Haar","-","capelli, pettinante, capello","hea, ke, kami","capillus, capillago","hår","pêlo, cabelo","cabello, pelo","nywele","hårstrå, hår"
"hammer","hammer","hameren","-","martelez, martelons, marteau, marteler, martelent","Hammer","palu","martello","kanadzuchi, hanma-","marcus","hamre, slegge, hammer","martelo","acotillo, martillear, martillo","-","hamra, hammare"
"hand","arbejder, hånd","aanreiken, overhandigen","käsi","ouvrier, index, main","Hand, Hand, Zeiger","pekerja","mano, manuale, lancetta","te, hando","manus","hånd, levere, gi, rekke","mão, obreiro","obrero, bastar, entregar, mano","mkono","hand, visare"
"handsome","skøn, smuk","fijn, schoon, net, fraai, knap, mooi","kaunis","beau","gutaussehend, gut aussehend, hübsch","cantik, indah","-","rippa, tansei","formosus, pulcher","-","belo, considerável, formoso","bonito","zuri","vacker"
"hang","hænge","hangen","riippua","pendre, planement","hängen, hängenlassen, hängen, schweben","-","appiccare, vertere, pendere","hangu","pendere","henge","cair","colgar, ahorrar","-","hänga"
"happen","ske, blive","toegaan, voortgang hebben, gebeuren","tapahtua","se passer, devenir, se faire, avenez, advenir","geschehen, geschehen, ereignen","terjadi","avvenire, succedere, passare, accadere","-","accidere, abire","hende, skje","aconteça, acontecer","ocurrir, acaecer","-","ske, hända, tilldraga, inträffa"
"happy","lykkelig","gelukkig","onnellinen","chanceux, heureuse, heureux","glücklich","senang","lieto, avventurato","yukai, ureshii, happi-","-","glad","feliz","feliz, alegre","-","lycklig, glad"
"hard","vanskelig, hård","hard","-","dur, pénible, difficile","Fest, hart, schwer","-","solido, faticoso, pesante","sobou, nikui, kochikochi, teitai, katai, gyutto","difficilis, durus","hard, tung, vanskelig","difícil, duramente","duro, trabajoso, pesado, dificil","gumu","hård, svår, tung, stel"
"hare","hare","haas","jänis","lièvre","Hase","-","lepre","usagi","-","hare","lebre","liebre","sungura","hare"
"harvest","høst, høste","oogst","korjata","récoltent, récolte, récolter, récoltez, récoltons","Herbst, Ernte, ernten, Ernte","-","raccolto, raccogliere","minori, shuunou, shuukaku","-","avling, høst, innhøstning, høst, høste","colheita","cosechar, cosecha, siega","mavuno","skörda, bärga, skörd, gröda"
"have","modtage, have","erop nahouden, hebben","saada, omistaa","avons, avez, avoir, aient, aie, ai, ait, ont, ayez","besitzen, haben, haben","menerima, terima","prendere, avere, possedere","-","habere","ha, få","haver, receber, tenha","poseer, obtener, haber, recibir","na","ha"
"he","han","hij, hem","hän","lui, il","er","-","lui, esso","hyu-man'enjiniaringu","-","han","ele","él","yeye","han"
"head","hoved","geleiden, de weg wijzen, leiden","pää, opastaa","tête, guider","Kopf, Haupt, Kopf","pimpin","capoccia, testa","kashira, hitsu, shuseki, shuryou, shuchou, oyadama","caput","leder, lede, hode","cabeça","cabeza, testa","kichwa","chef, överhuvud, huvud, ledare"
"healthy","sund, rask","gezond, fit, valide","terve","sain","gesünder, wohlbehalten","sehat","sano","herushi-, kichi, sukoyaka, kitsu, mame","sanus","-","saudável","sano","-","hälsosam, sund, frisk"
"hear","høre","verstaan, horen, vernemen","kuulla","oyons, oient, ois, oyez, ouïr, entends, entendre","vernehme, hören, hören","-","sentisti","hia","audire","få vite, høre","ouça, ouvir","oír, oir","-","åhöra, höra"
